1,AA
2,KK
3,QQ
4,AKs
5,JJ
6,AQs
7,KQs
8,AJs
9,KJs
10,TT
11,AKo
12,ATs
13,QJs
14,KTs
15,QTs
16,JTs
17,99
18,AQo
19,A9s
20,KQo
21,88
22,K9s
23,T9s
24,A8s
25,Q9s
26,J9s
27,AJo
28,A5s
29,77
30,A7s
31,KJo
32,A4s
33,A3s
34,A6s
35,QJo
36,66
37,K8s
38,T8s
39,A2s
40,98s
41,J8s
42,ATo
43,Q8s
44,K7s
45,KTo
46,55
47,JTo
48,87s
49,QTo
50,44
51,22
52,33
53,K6s
54,97s
55,K5s
56,76s
57,T7s
58,K4s
59,K2s
60,K3s
61,Q7s
62,86s
63,65s
64,J7s
65,54s
66,Q6s
67,75s
68,96s
69,Q5s
70,64s
71,Q4s
72,Q3s
73,T9o
74,T6s
75,Q2s
76,A9o
77,53s
78,85s
79,J6s
80,J9o
81,K9o
82,J5s
83,Q9o
84,43s
85,74s
86,J4s
87,J3s
88,95s
89,J2s
90,63s
91,A8o
92,52s
93,T5s
94,84s
95,T4s
96,T3s
97,42s
98,T2s
99,98o
100,T8o
101,A5o
102,A7o
103,73s
104,A4o
105,32s
106,94s
107,93s
108,J8o
109,A3o
110,62s
111,92s
112,K8o
113,A6o
114,87o
115,Q8o
116,83s
117,A2o
118,82s
119,97o
120,72s
121,76o
122,K7o
123,65o
124,T7o
125,K6o
126,86o
127,54o
128,K5o
129,J7o
130,75o
131,Q7o
132,K4o
133,K3o
134,96o
135,K2o
136,64o
137,Q6o
138,53o
139,85o
140,T6o
141,Q5o
142,43o
143,Q4o
144,Q3o
145,74o
146,Q2o
147,J6o
148,63o
149,J5o
150,95o
151,52o
152,J4o
153,J3o
154,42o
155,J2o
156,84o
157,T5o
158,T4o
159,32o
160,T3o
161,73o
162,T2o
163,62o
164,94o
165,93o
166,92o
167,83o
168,82o
169,72o
